Kind,Name,AvgCyclomatic,MaxCyclomatic,AvgCountLineCode,CountLineCode,RatioCommentToCode,CountLineComment,CountDeclClass,CountDeclClassMethod,CountLineCodeExe,MaxNesting
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.isMultiLanguagePipeline.IsMultiLanguageVisitor.performMultiLanguageTest",,,,5,0.00,0,,,2,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.isMultiLanguagePipeline.IsMultiLanguageVisitor.visitPrimitiveTransform",,,,5,0.00,0,,,2,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.isServiceEndpoint",,,,3,0.00,0,,,1,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfBigqueryDLQUnused",,,,44,0.00,0,,,32,1
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfBigqueryDLQUnused.(Anon_1)",5,8,18,36,0.00,0,,0,27,3
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfBigqueryDLQUnused.(Anon_1).enterCompositeTransform",,,,29,0.00,0,,,22,3
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfBigqueryDLQUnused.(Anon_1).visitPrimitiveTransform",,,,6,0.00,0,,,4,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfPCollectionViewHasNonDeterministicKeyCoder",,,,38,0.00,0,,,28,1
Anonymous Class,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfPCollectionViewHasNonDeterministicKeyCoder.(Anon_2)",3,4,12,25,0.00,0,,0,18,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfPCollectionViewHasNonDeterministicKeyCoder.(Anon_2).enterCompositeTransform",,,,18,0.00,0,,,13,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.logWarningIfPCollectionViewHasNonDeterministicKeyCoder.(Anon_2).visitPrimitiveTransform",,,,6,0.00,0,,,4,1
Method,"org.apache.beam.runners.dataflow.DataflowRunner.maybeRecordPCollectionPreservedKeys",,,,3,0.00,0,,,1,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.maybeRecordPCollectionWithAutoSharding",,,,9,0.00,0,,,7,0
Method,"org.apache.beam.runners.dataflow.DataflowRunner.recordViewUsesNonDeterministicKeyCoder",,,,3,0.00,0,,,1,0
Protected Method,"org.apache.beam.runners.dataflow.DataflowRunner.replaceV1Transforms",,,,6,0.00,0,,,3,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.resolveAnyOfEnvironments",,,,14,0.00,0,,,11,1
Protected Method,"org.apache.beam.runners.dataflow.DataflowRunner.resolveArtifacts",,,,30,0.00,0,,,25,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.run",,,,327,0.01,3,,,267,3
Lambda Method,"org.apache.beam.runners.dataflow.DataflowRunner.run.(lambda_expr_1)",,,,1,0.00,0,,,1,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.setHooks",,,,3,0.00,0,,,1,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.shouldActAsStreaming",,,,43,0.00,0,,,31,2
Class,"org.apache.beam.runners.dataflow.DataflowRunner.shouldActAsStreaming.BoundednessVisitor",3,3,9,12,0.00,0,,0,5,2
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.shouldActAsStreaming.BoundednessVisitor.visitValue",,,,9,0.00,0,,,4,2
Protected Method,"org.apache.beam.runners.dataflow.DataflowRunner.stageArtifacts",,,,19,0.00,0,,,14,3
Public Method,"org.apache.beam.runners.dataflow.DataflowRunner.toString",,,,4,0.00,0,,,1,0
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.translateOverriddenPubsubSourceStep",,,,37,0.00,0,,,27,2
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.useUnifiedWorker",,,,6,0.00,0,,,4,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunner.validateArtifactTypeAndGetFilePayload",,,,8,0.00,0,,,5,1
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.validateSdkContainerImageOptions",,,,18,0.00,0,,,15,1
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.validateWorkerSettings",,,,35,0.00,0,,,28,3
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.verifyDoFnSupported",,,,42,0.00,0,,,33,1
Static Method,"org.apache.beam.runners.dataflow.DataflowRunner.verifyStateSupportForWindowingStrategy",,,,8,0.00,0,,,5,1
Public Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest",1,5,17,1358,0.02,22,,5,976,3
Private Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.CompositeTransformRecorder",2,2,5,13,0.00,0,,0,5,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.CompositeTransformRecorder.enterCompositeTransform",,,,7,0.00,0,,,3,1
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.CompositeTransformRecorder.getCompositeTransforms",,,,3,0.00,0,,,1,0
Public Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.DefaultRegionTest",1,1,8,31,0.03,1,,0,20,1
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.DefaultRegionTest.buildMockDataflow",,,,3,0.00,0,,,1,0
Private Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.DefaultRegionTest.buildMockGcsUtil",,,,3,0.00,0,,,1,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.DefaultRegionTest.testDefaultRegionSet",,,,19,0.00,0,,,15,1
Public Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatible",1,1,3,6,0.00,0,,0,1,0
Public Constructor,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatible.JacksonIncompatible",,,,3,0.00,0,,,1,0
Public Static Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleDeserializer",1,1,6,9,0.00,0,,0,1,0
Public Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleDeserializer.deserialize",,,,6,0.00,0,,,1,0
Public Static Final Class,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleMixin",0,0,0,3,0.00,0,,0,0,0
Public Interface,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleOptions",0,0,0,4,0.00,0,,0,0,0
Abstract Method,"org.apache.beam.runners.dataflow.DataflowRunnerTest.JacksonIncompatibleOptions.getJacksonIncompatible",,,,1,0.00,0,,,0,0
